label,phase,epoch,loss,matrix,layer,head,shape,cond,eff_rank_50,spectral_entropy,norm_entropy,sv_max,sv_min,sv_mean
w128_ep1_m1,w128,1,5.9181,Q,0,0,"(256, 64)",2.82667875289917,26,4.123332977294922,0.9914520063795516,2.9856793880462646,1.056249976158142,1.9370840787887573
w128_ep1_m1,w128,1,5.9181,Q,0,1,"(256, 64)",2.954930543899536,26,4.123705863952637,0.9915416666682013,2.993434190750122,1.0130302906036377,1.943269968032837
w128_ep1_m1,w128,1,5.9181,Q,0,2,"(256, 64)",3.022704839706421,25,4.122208595275879,0.9911816496523952,2.960941791534424,0.9795669317245483,1.9286525249481201
w128_ep1_m1,w128,1,5.9181,Q,0,3,"(256, 64)",2.826873540878296,26,4.125221252441406,0.9919060405778293,3.0277020931243896,1.0710426568984985,1.9386632442474365
w128_ep1_m1,w128,1,5.9181,K,0,0,"(256, 64)",2.9602980613708496,26,4.122596263885498,0.9912748642491628,3.0008177757263184,1.0136877298355103,1.931023359298706
w128_ep1_m1,w128,1,5.9181,K,0,1,"(256, 64)",2.822934150695801,26,4.125844955444336,0.9920560094493817,3.009948968887329,1.0662484169006348,1.9368798732757568
w128_ep1_m1,w128,1,5.9181,K,0,2,"(256, 64)",2.8404297828674316,26,4.125267028808594,0.9919170474674845,2.9906842708587646,1.0528985261917114,1.9452955722808838
w128_ep1_m1,w128,1,5.9181,K,0,3,"(256, 64)",2.718113899230957,25,4.123429298400879,0.9914751667098677,2.9357717037200928,1.080076813697815,1.9305853843688965
w128_ep1_m1,w128,1,5.9181,V,0,0,"(256, 64)",2.764507532119751,25,4.122425556182861,0.9912338177231569,2.9259557723999023,1.0584003925323486,1.92972731590271
w128_ep1_m1,w128,1,5.9181,V,0,1,"(256, 64)",2.958582639694214,25,4.12096643447876,0.9908829731153967,2.9756715297698975,1.005776047706604,1.9373269081115723
w128_ep1_m1,w128,1,5.9181,V,0,2,"(256, 64)",2.941408157348633,25,4.120645523071289,0.9908058102327096,2.9340384006500244,0.9974945187568665,1.9304494857788086
w128_ep1_m1,w128,1,5.9181,V,0,3,"(256, 64)",2.918792247772217,25,4.121109962463379,0.99091748430067,2.9472768306732178,1.0097590684890747,1.930924415588379
w128_ep1_m1,w128,1,5.9181,Wo,0,-1,"(256, 256)",4343.3525390625,61,5.197697639465332,0.9373365760621133,2.1783204078674316,0.0005015297210775316,0.8036986589431763
w128_ep1_m1,w128,1,5.9181,FFN_up,0,-1,"(1024, 256)",5.769654273986816,99,5.502777576446533,0.9923537400818003,3.589932680130005,0.6222093105316162,1.2241041660308838
w128_ep1_m1,w128,1,5.9181,FFN_down,0,-1,"(256, 1024)",10.755488395690918,82,5.438320636749268,0.9807297766752848,3.0727808475494385,0.2856942117214203,0.7674593925476074
w128_ep1_m1,w128,1,5.9181,Q,1,0,"(256, 64)",2.8991847038269043,26,4.123849391937256,0.9915761778534744,3.0107357501983643,1.0384767055511475,1.9487768411636353
w128_ep1_m1,w128,1,5.9181,Q,1,1,"(256, 64)",2.8382773399353027,26,4.126112937927246,0.992120445615905,2.8667609691619873,1.010035514831543,1.938765048980713
w128_ep1_m1,w128,1,5.9181,Q,1,2,"(256, 64)",2.8055572509765625,26,4.123263359069824,0.9914352667348675,3.0260088443756104,1.0785768032073975,1.93235445022583
w128_ep1_m1,w128,1,5.9181,Q,1,3,"(256, 64)",2.8346753120422363,26,4.1243367195129395,0.9916933553662624,2.954368829727173,1.0422247648239136,1.9326496124267578
w128_ep1_m1,w128,1,5.9181,K,1,0,"(256, 64)",2.9352781772613525,26,4.1231794357299805,0.9914150874371663,2.9383962154388428,1.001062273979187,1.9410364627838135
w128_ep1_m1,w128,1,5.9181,K,1,1,"(256, 64)",2.8334949016571045,26,4.123851299285889,0.9915766364738767,2.951155185699463,1.0415247678756714,1.948857069015503
w128_ep1_m1,w128,1,5.9181,K,1,2,"(256, 64)",2.7781965732574463,26,4.123964786529541,0.9916039243878136,2.915347099304199,1.0493667125701904,1.9422295093536377
w128_ep1_m1,w128,1,5.9181,K,1,3,"(256, 64)",3.0170905590057373,25,4.121766090393066,0.9910752497190614,2.9882829189300537,0.9904518723487854,1.9329240322113037
w128_ep1_m1,w128,1,5.9181,V,1,0,"(256, 64)",3.0213382244110107,25,4.121976852416992,0.9911259272735157,2.950809955596924,0.9766566157341003,1.9220057725906372
w128_ep1_m1,w128,1,5.9181,V,1,1,"(256, 64)",2.967998743057251,25,4.121796131134033,0.9910824729903976,2.936353921890259,0.9893379807472229,1.9283325672149658
w128_ep1_m1,w128,1,5.9181,V,1,2,"(256, 64)",2.7108399868011475,26,4.124584674835205,0.9917529760185614,2.8746373653411865,1.0604231357574463,1.942641019821167
w128_ep1_m1,w128,1,5.9181,V,1,3,"(256, 64)",2.920642375946045,26,4.124014854431152,0.9916159631733741,2.964595317840576,1.0150490999221802,1.9421634674072266
w128_ep1_m1,w128,1,5.9181,Wo,1,-1,"(256, 256)",653.1683959960938,71,5.322994709014893,0.959932258671747,2.0516140460968018,0.0031410185620188713,0.8471267223358154
w128_ep1_m1,w128,1,5.9181,FFN_up,1,-1,"(1024, 256)",4.361967086791992,100,5.508173942565918,0.9933269039117075,2.6702044010162354,0.6121560335159302,1.1448981761932373
w128_ep1_m1,w128,1,5.9181,FFN_down,1,-1,"(256, 1024)",7.78080415725708,91,5.477280616760254,0.9877556979196577,2.460148572921753,0.3161817789077759,0.7070722579956055
w128_ep1_m1,w128,1,5.9181,Q,2,0,"(256, 64)",2.8327081203460693,26,4.125851631164551,0.9920576146207898,2.8600544929504395,1.0096538066864014,1.921217918395996
w128_ep1_m1,w128,1,5.9181,Q,2,1,"(256, 64)",2.9700229167938232,26,4.123883247375488,0.9915843183656153,3.011000394821167,1.0137970447540283,1.938550591468811
w128_ep1_m1,w128,1,5.9181,Q,2,2,"(256, 64)",2.9508392810821533,25,4.121046543121338,0.9909022351722934,2.9719533920288086,1.0071552991867065,1.9103254079818726
w128_ep1_m1,w128,1,5.9181,Q,2,3,"(256, 64)",2.9040961265563965,26,4.123468399047852,0.9914845684281148,2.9799156188964844,1.0261077880859375,1.9313335418701172
